OBJECTID,BdType,BdVal,PctNum,BdName,DistrictFullName
141,P,0335,335,GREENFIELD,Greenfield Voting Precinct
142,P,0810,810,SUNLAND VILLAGE,Sunland Village Voting Precinct
143,P,0138,138,CLIFFVIEW,Cliffview Voting Precinct
144,P,0533,533,MONTOYA,Montoya Voting Precinct
145,P,0183,183,CREIGHTON,Creighton Voting Precinct
146,P,0284,284,FLOWER,Flower Voting Precinct
147,P,0299,299,GALVESTON,Galveston Voting Precinct
148,P,0321,321,GLENVIEW,Glenview Voting Precinct
149,P,0072,72,BOLERO,Bolero Voting Precinct
150,P,0296,296,FRIER,Frier Voting Precinct
151,P,0688,688,RIMROCK,Rimrock Voting Precinct
152,P,0261,261,ENCANTO,Encanto Voting Precinct
153,P,0205,205,DENALI,Denali Voting Precinct
154,P,0559,559,NVP 13,Nvp 13 Voting Precinct
155,P,0599,599,PAIUTE,Paiute Voting Precinct
156,P,0519,519,MIMOSA,Mimosa Voting Precinct
157,P,0023,23,ANNETTE,Annette Voting Precinct
158,P,0132,132,CITRUS,Citrus Voting Precinct
159,P,0350,350,HARMONT,Harmont Voting Precinct
160,P,0459,459,LOMA VERDES,Loma Verdes Voting Precinct
161,P,0751,751,SHEENA,Sheena Voting Precinct
162,P,0807,807,SUNDOWN,Sundown Voting Precinct
163,P,0148,148,COLONNADE,Colonnade Voting Precinct
164,P,0398,398,IVANHOE,Ivanhoe Voting Precinct
165,P,0796,796,SUN AIRE,Sun Aire Voting Precinct
166,P,0383,383,HOPE,Hope Voting Precinct
167,P,0119,119,CENTRAL HIGH,Central High Voting Precinct
168,P,0672,672,RANCHO,Rancho Voting Precinct
169,P,0217,217,DESERT RIVER,Desert River Voting Precinct
170,P,0742,742,SENTRY,Sentry Voting Precinct
171,P,0581,581,OAKTREE,Oaktree Voting Precinct
172,P,0024,24,APACHE,Apache Voting Precinct
173,P,0801,801,SUN TRAILS,Sun Trails Voting Precinct
174,P,0776,776,SOUTH MTN PARK SOUTH,South Mtn Park South Voting Precinct
175,P,0177,177,COVINA,Covina Voting Precinct
176,P,0825,825,TABLE MESA,Table Mesa Voting Precinct
177,P,0756,756,SIERRA VERDE,Sierra Verde Voting Precinct
178,P,0134,134,CITRUS GROVES,Citrus Groves Voting Precinct
179,P,0704,704,ROMA,Roma Voting Precinct
180,P,0201,201,DEER VALLEY,Deer Valley Voting Precinct
181,P,0391,391,IMES,Imes Voting Precinct
182,P,0866,866,VARNEY PARK,Varney Park Voting Precinct
183,P,0813,813,SUNNYSLOPE,Sunnyslope Voting Precinct
184,P,0658,658,PORTOBELLO,Portobello Voting Precinct
185,P,0815,815,SUNRISE,Sunrise Voting Precinct
186,P,0142,142,CLUB WEST,Club West Voting Precinct
187,P,0768,768,SOLEDAD,Soledad Voting Precinct
188,P,0846,846,TRAILSIDE,Trailside Voting Precinct
189,P,0239,239,DRIFTWOOD,Driftwood Voting Precinct
190,P,0181,181,CRABAPPLE,Crabapple Voting Precinct
191,P,0004,4,ADOBE,Adobe Voting Precinct
192,P,0099,99,CANDLELIGHT,Candlelight Voting Precinct
193,P,0110,110,CARON,Caron Voting Precinct
